2023-05-20 15:14:09.790 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-20 15:14:09.790 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-20 15:14:09.877 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo] - Initializing Spring embedded WebApplicationContext
2023-05-20 15:14:09.877 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1289 ms
2023-05-20 15:14:12.115 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/demo'
2023-05-20 15:14:12.187 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-20 15:14:12.195 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-05-20 15:14:12.219 [main] INFO  org.apache.pulsar.client.impl.PulsarClientImpl - Client closing. URL: pulsar://localhost:6650
2023-05-20 15:14:43.889 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2023-05-20 15:14:43.899 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-20 15:14:43.900 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-20 15:14:43.984 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo] - Initializing Spring embedded WebApplicationContext
2023-05-20 15:14:43.984 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1385 ms
2023-05-20 15:14:46.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/demo'
2023-05-20 15:14:46.214 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-20 15:14:46.221 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-05-20 15:14:46.246 [main] INFO  org.apache.pulsar.client.impl.PulsarClientImpl - Client closing. URL: pulsar://localhost:6650
2023-05-20 15:15:42.290 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2023-05-20 15:15:42.298 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-20 15:15:42.299 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
